產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41018-0793201,PCS,TG-A1250 12*12*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/30000箱 半斷/透明保護膜,14000,,,,,6461,0.4615,60.72,1325,0.0946,12.45,2855,0.2039,26.83,,,,10641,0.76,1325,2855,
41018-0797201,PCS,TG-A2200 540*270*0.5mm 不背膠,長寬±1.5厚±0.05 20PCS/200箱 全斷/藍色亮面膜,35,,,,,7895,225.5714,72.92,929,26.5429,8.58,2003,57.2286,18.5,,,,10827,309.3429,929,2003,
41018-0797301,PCS,TG-A2200 270*270*1.0mm 不背膠,長寬±1.5厚±0.10 10PCS/80箱 全斷/藍色亮面膜,71,,43,43,,20618,180.8596,76.86,1967,17.2544,7.33,4240,37.193,15.81,,,,26825,235.307,1967,4240,
41018-0797401,PCS,TG-A2200 540*270*1.0mm 不背膠,長寬±1.5厚±0.10 10PCS/80箱 全斷/藍色亮面膜,,,20,20,,7122,356.1,90.82,228,11.4,2.91,492,24.6,6.27,,,,7842,392.1,228,492,
41018-0797801,PCS,TG-A2200 540*270*2.0mm 不背膠,長寬±1.5厚±0.20 5PCS/40箱 全斷/藍色亮面膜,79,,,,,61236,775.1392,81.03,4544,57.519,6.01,9790,123.9241,12.95,,,,75570,956.5823,4544,9790,
41018-0798001,PCS,TG-A1780 125*125*0.5mm 不背膠,長寬±0.8厚±0.05 100PCS/600箱 全斷/透明保護膜,102,,,,,32411,317.7549,90.03,1138,11.1569,3.16,2450,24.0196,6.81,,,,35999,352.9314,1138,2450,
41018-0798401,PCS,TG-A1250LC 135*135*2.0mm 不背膠,長寬±0.8厚±0.20 10PCS/100箱 全斷/藍色亮面膜,,,13.998,,,2424,173.1676,100,,,,,,,,,,2424,173.1676,,,
41018-0798801,PCS,TG-A1250LC 135*135*3.0mm 不背膠,長寬±0.8厚±0.25 10PCS/100箱 全斷/藍色亮面膜,,,19.997,19.997,,4423,221.1832,97.62,34,1.7003,0.75,74,3.7006,1.63,,,,4531,226.5841,34,74,
41018-0798901,PCS,TG-A1250LC 270*270*3.0mm 不背膠,長寬±1.5厚±0.25 2PCS/20箱 全斷/藍色亮面膜,5,,,,,4023,804.6,79.81,322,64.4,6.39,696,139.2,13.81,,,,5041,1008.2,322,696,
41018-0799001,PCS,TG-A1250LC 135*135*4.0mm 不背膠,長寬±0.8厚±0.30 10PCS/80箱 全斷/藍色亮面膜,2,,,,,1718,859,34.28,1041,520.5,20.77,2252,1126,44.94,,,,5011,2505.5,1030,2224,
41018-0801001,PCS,TG-A1780 250*250*0.5mm 不背膠,長寬±1.5厚±0.05 10PCS/100箱 全斷/透明保護膜,4,,,,,4800,1200,76.84,452,113,7.24,995,248.75,15.93,,,,6247,1561.75,374,804,
41018-0801501,PCS,TG-A1250 9*7*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/100000箱 半斷/透明保護膜/1/2板全斷/兩板無需對稱,,,99.684,99.684,,125,1.254,21.74,143,1.4345,24.87,307,3.0797,53.39,,,,575,5.7682,143,307,
41018-0803101,PCS,TG-A6200 150*150*3.0mm 單背S203,長寬±0.8厚±0.25 10PCS/100箱 全斷/透明保護膜,4,,,,,408,102,47.17,145,36.25,16.76,312,78,36.07,,,,865,216.25,145,312,
41018-0806001,PCS,TG-A4500F 28*25*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/9000箱 半斷,50,,,,,167,3.34,58.39,38,0.76,13.29,81,1.62,28.32,,,,286,5.72,38,81,
41018-0817001,PCS,TG-A3500 40*40*1.0mm 不背膠,長寬±0.4厚±0.10 500PCS/4000箱 半斷/透明保護膜,40,,,,,192,4.8,33.86,119,2.975,20.99,256,6.4,45.15,,,,567,14.175,119,256,
41018-0818401,PCS,TG-A3500 60*20*1.0mm 不背膠,長±0.5寬±0.3厚±0.10 1000PCS/6000箱 膜斷/透明保護膜/加拉拔5mm(20),1000,,,,,2694,2.694,39.89,1286,1.286,19.04,2773,2.773,41.06,,,,6753,6.753,1286,2773,
41018-0818801,PCS,TG-A3500 35*30*3.0mm 不背膠,長±0.4寬±0.3厚±0.25 200PCS/2000箱 半斷/透明保護膜,3290,,,,,12836,3.9015,76.67,1238,0.3763,7.39,2668,0.8109,15.94,,,,16742,5.0887,1238,2668,
41018-0823201,PCS,TG-A4500 30*20*7.0mm 不背膠,長寬±0.3厚±0.40 100PCS/1000箱 半斷/透明保護膜,2190,,,,,11824,5.3991,77.32,1070,0.4886,7,2398,1.095,15.68,,,,15292,6.9827,777,1674,
41018-0825101,PCS,TG-A4500 15*10*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/30000箱 半斷/透明保護膜,10,,,,,160,16,38.74,80,8,19.37,173,17.3,41.89,,,,413,41.3,80,173,
41018-0825201,PCS,TG-A1250 8*8*1.5mm 不背膠,長寬±0.2厚±0.15 1000PCS/70000箱 半斷/透明保護膜,500,,,,,150,0.3,32.47,99,0.198,21.43,213,0.426,46.1,,,,462,0.924,99,213,
41018-0830401,PCS,TG-A4500F 6*6*5.0mm 不背膠,長寬±0.2厚±0.35 1000PCS/40000箱 半斷,2000,,,,,660,0.33,79.42,54,0.027,6.5,117,0.0585,14.08,,,,831,0.4155,54,117,
41018-0841101,PCS,TG-A1250 111*15*1.0mm 不背膠,長±0.8寬±0.3厚±0.10 500PCS/3000箱 半斷/透明保護膜,1000,,,,,6135,6.135,73.93,686,0.686,8.27,1477,1.477,17.8,,,,8298,8.298,686,1477,
41018-0846101,PCS,TG-A3500 16*5.9*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/100000箱 半斷/條狀/透明保護膜,2600,,,,,241,0.0927,19.82,309,0.1188,25.41,666,0.2562,54.77,,,,1216,0.4677,309,666,
41018-0848901,PCS,TG-A4500 15*15*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/透明保護膜,10,,,,,234,23.4,50.65,72,7.2,15.58,156,15.6,33.77,,,,462,46.2,72,156,
41018-0854901,PCS,TG-A3500F 77*77*1.2mm 不背膠 沖型,長寬±0.6厚±0.12 100PCS/600箱 半斷/正視圖為玻纖面/Z4001-0326401/量產模/9穴/裁9PCS,,,100,100,,2760,27.6,85.93,143,1.43,4.45,309,3.09,9.62,,,,3212,32.12,143,309,
41018-0855601,PCS,TG-A3500 8*8*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/100000箱 半斷/透明保護膜,,,2201.244,2201.244,,385,0.1749,65.7,64,0.0291,10.92,137,0.0622,23.38,,,,586,0.2662,64,137,
41018-0858301,PCS,TG-A3500 14*14*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/透明保護膜,1000,,,,,759,0.759,54.64,200,0.2,14.4,430,0.43,30.96,,,,1389,1.389,200,430,
41018-0858601,PCS,TG-A3500 28*14*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/6000箱 半斷/透明保護膜,,,300.423,300.423,,456,1.5179,93.25,10,0.0333,2.04,23,0.0766,4.7,,,,489,1.6278,10,23,
41018-0858801,PCS,TG-A3500 26.8*16.2*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/8000箱 半斷/透明保護膜,,,699.232,,,963,1.3772,100,,,,,,,,,,963,1.3772,,,
41018-0858901,PCS,TG-A3500 27*27*2.5mm 不背膠,長寬±0.3厚±0.25 500PCS/3000箱 半斷/透明保護膜,,,855.379,855.379,,2277,2.662,96.52,26,0.0304,1.1,56,0.0655,2.37,,,,2359,2.7579,26,56,
41018-0859001,PCS,TG-A6200 60*25*0.5mm 不背膠,長±0.5寬±0.3厚±0.05 1000PCS/10000箱 全斷/透明保護膜,350,,,,,962,2.7486,43.31,399,1.14,17.96,860,2.4571,38.72,,,,2221,6.3457,399,860,
41018-0862001,PCS,TG-A1250 40*30*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 500PCS/5000箱 半斷/透明保護膜,500,,,,,2128,4.256,63.37,390,0.78,11.61,840,1.68,25.01,,,,3358,6.716,390,840,
41018-0862201,PCS,TG-A1250 77*74*1.0mm 不背膠,長寬±0.6厚±0.10 100PCS/900箱 全斷/透明保護膜,600,,,,,9641,16.0683,60.47,1998,3.33,12.53,4304,7.1733,27,,,,15943,26.5716,1998,4304,
41018-0863401,PCS,TG-A3500 77*40*3.5mm 不背膠,長±0.6寬±0.4厚±0.25 50PCS/400箱 半斷/透明保護膜,,,100.029,100.029,,1466,14.6557,91.91,41,0.4099,2.57,88,0.8797,5.52,,,,1595,15.9453,41,88,
41018-0866601,PCS,TG-A1450 16*11*2.0mm 不背膠,長寬±0.3厚±0.20 200PCS/20000箱 半斷/透明保護膜,1000,,,,,1601,1.601,68.71,229,0.229,9.83,500,0.5,21.46,,,,2330,2.33,210,452,
41018-0866701,PCS,TG-A1450 10*6*2.0mm 不背膠,長寬±0.2厚±0.20 200PCS/60000箱 半斷/透明保護膜,2200,,,,,1200,0.5455,0.62,61041,27.7459,31.5,131535,59.7886,67.88,,,,193776,88.08,61014,131469,
41018-0868901,PCS,TG-A6200 36*29*1.0mm 不背膠 沖型,長±0.4寬±0.3厚±0.10 200PCS/6000箱 半斷/透明保護膜/Z4001-0287201/量產模/9穴/裁72PCS,520,,,,,1503,2.8904,47.81,520,1,16.54,1121,2.1558,35.66,,,,3144,6.0462,520,1121,
41018-0869001,PCS,TG-A6200 29*27.2*1.0mm 不背膠 沖型,長寬±0.3厚±0.10 200PCS/8000箱 半斷/透明保護膜/Z4001-0287301/量產模/30穴/裁90PCS,,,499.837,499.837,,1202,2.4048,63.2,222,0.4441,11.67,478,0.9563,25.13,,,,1902,3.8052,222,478,
41018-0869401,PCS,TG-A6200 13*13*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/80000箱 半斷/透明保護膜,5000,,,,,1444,0.2888,35.93,816,0.1632,20.3,1759,0.3518,43.77,,,,4019,0.8038,816,1759,
41018-0872901,PCS,TG-A3500 25*25*6.0mm 不背膠,長寬±0.3厚±0.40 100PCS/1000箱 半斷/透明保護膜,900,,,,,4000,4.4444,74.17,442,0.4911,8.2,951,1.0567,17.63,,,,5393,5.9922,442,951,
41018-0873001,PCS,TG-A3500 50*50*6.0mm 不背膠,長寬±0.4厚±0.40 50PCS/400箱 半斷/透明保護膜,305,,,,,5539,18.1607,87.8,244,0.8,3.87,526,1.7246,8.34,,,,6309,20.6853,244,526,
41018-0873301,PCS,TG-A4500 20*20*8.0mm 單背S203,長寬±0.3厚±0.40 200PCS/1000箱 半斷/透明保護膜,8000,,,,,33355,4.1694,68.95,4762,0.5953,9.84,10261,1.2826,21.21,,,,48378,6.0473,4762,10261,
41018-0875401,PCS,TG-A3500 31*15.5*3.5mm 不背膠,長±0.4寬±0.3厚±0.25 500PCS/3000箱 半斷/透明保護膜,1020,,,,,2015,1.9755,81.38,146,0.1431,5.9,315,0.3088,12.72,,,,2476,2.4274,146,315,
41018-0877301,PCS,TG-A1250 90*75*1.0mm 不背膠,長寬±0.6厚±0.10 100PCS/1000箱 全斷/透明保護膜,,,464.008,464.008,,9891,21.3164,90.16,342,0.7371,3.12,738,1.5905,6.73,,,,10971,23.644,342,738,
41018-0880801,PCS,TG-A4500 11*6*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/200000箱 半斷/透明保護膜,1430,,,,,106,0.0741,12.41,226,0.158,26.46,522,0.365,61.12,,,,854,0.5971,110,237,
41018-0881901,PCS,TG-A3500 18*7*5.5mm 不背膠,長±0.3寬±0.2厚±0.40 200PCS/9000箱 半斷/透明保護膜,7035,,,,,5313,0.7552,60.15,1116,0.1586,12.63,2404,0.3417,27.22,,,,8833,1.2555,1116,2404,
41018-0882001,PCS,TG-A3500 13.5*13.5*3.0mm 不背膠,長寬±0.3厚±0.25 200PCS/10000箱 半斷/透明保護膜,7437,,,,,4834,0.65,56.05,1202,0.1616,13.94,2589,0.3481,30.02,,,,8625,1.1597,1202,2589,
41018-0885101,PCS,TG-A1780 35*35*0.5mm 不背膠,長寬±0.4厚±0.05 1000PCS/10000箱 半斷/條狀/透明保護膜,300,,,,,7803,26.01,89.01,305,1.0167,3.48,658,2.1933,7.51,,,,8766,29.22,305,658,
41018-0885201,PCS,TG-A6200 5.5*5.5*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/200000箱 半斷/透明保護膜,6000,,,,,501,0.0835,30.04,370,0.0617,22.18,797,0.1328,47.78,,,,1668,0.278,370,797,
41018-0886201,PCS,TG-A3500 8*8*2.0mm 不背膠,長寬±0.2厚±0.20 1000PCS/50000箱 半斷/透明保護膜,,,2200.893,2200.893,,551,0.2504,65.44,92,0.0418,10.93,199,0.0904,23.63,,,,842,0.3826,92,199,
41018-0890201,PCS,TG-A3500 33*26*4.0mm 不背膠,長±0.4寬±0.3厚±0.30 200PCS/2000箱 半斷/透明保護膜,2400,,,,,8408,3.5033,85.86,439,0.1829,4.48,946,0.3942,9.66,,,,9793,4.0804,439,946,
41018-0890501,PCS,TG-A4500 16*16*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/8000箱 半斷/透明保護膜,1000,,,,,1406,1.406,60.03,297,0.297,12.68,639,0.639,27.28,,,,2342,2.342,297,639,
41018-0891601,PCS,TG-A4500 23*15*5.0mm 不背膠,長寬±0.3厚±0.35 500PCS/4000箱 半斷/透明保護膜,450,,,,,1449,3.22,76.26,143,0.3178,7.53,308,0.6844,16.21,,,,1900,4.2222,143,308,
41018-0891701,PCS,TG-A4500 15*10*8.0mm 單背3M8003,長±0.3寬±0.2厚±0.40 1000PCS/6000箱 半斷/透明保護膜,900,,,,,1478,1.6422,36.58,813,0.9033,20.12,1749,1.9433,43.29,,,,4040,4.4888,813,1749,
41018-0895201,PCS,TG-A1780 310*310*1.0mm 不背膠,長寬±1.5厚±0.10 10PCS/80箱 全斷/透明保護膜,4,,30,30,,61213,1800.3824,97.18,539,15.8529,0.86,1235,36.3235,1.96,,,,62987,1852.5588,300,647,
41018-0895601,PCS,TG-A6200 13*13*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/40000箱 膜斷/藍色保護膜/加拉拔5mm(13),100,,,,,100,1,22.57,109,1.09,24.6,234,2.34,52.82,,,,443,4.43,109,234,
41018-0906601,PCS,TG-A1780 15*10*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/40000箱 半斷/透明保護膜,20,,,,,900,45,70.81,117,5.85,9.21,254,12.7,19.98,,,,1271,63.55,117,254,
41018-0909701,PCS,TG-A3500 13*13*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/80000箱 半斷/透明保護膜,19216,,,,,3615,0.1881,40.92,1655,0.0861,18.73,3565,0.1855,40.35,,,,8835,0.4597,1655,3565,
41018-0912601,PCS,TG-A1250 4*4*0.8mm 不背膠,長寬±0.2厚±0.08 1000PCS/500000箱 全斷/透明保護膜/加拉拔5mm(4),1525,,,,,105,0.0689,5.12,616,0.4039,30.05,1329,0.8715,64.83,,,,2050,1.3443,616,1329,
41018-0912701,PCS,TG-A1250 27*20*0.8mm 不背膠,長寬±0.3厚±0.08 1000PCS/10000箱 全斷/透明保護膜/加拉拔5mm(20),305,,,,,421,1.3803,17.81,615,2.0164,26.02,1328,4.3541,56.18,,,,2364,7.7508,615,1328,
41018-0914101,PCS,TG-A3500 25*25*8.5mm 不背膠,長寬±0.3厚±0.45 100PCS/1000箱 半斷/透明保護膜,1890,,,,,9425,4.9868,72.49,1134,0.6,8.72,2443,1.2926,18.79,,,,13002,6.8794,1134,2443,
41018-0914401,PCS,TG-A3500 18*12*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/10000箱 半斷/透明保護膜,,,463.684,,,413,0.8907,100,,,,,,,,,,413,0.8907,,,
41018-0914801,PCS,TG-A3500 200*150*1.5mm 不背膠,長±1.0寬±0.8厚±0.15 10PCS/100箱 全斷/透明保護膜,1,,,,,250,250,48.73,83,83,16.18,180,180,35.09,,,,513,513,83,180,
41018-0914901,PCS,TG-A3500 200*150*2.0mm 不背膠,長±1.0寬±0.8厚±0.20 10PCS/80箱 全斷/透明保護膜,1,,,,,275,275,48.42,93,93,16.37,200,200,35.21,,,,568,568,93,200,
41018-0915001,PCS,TG-A3500 200*150*2.5mm 不背膠,長±1.0寬±0.8厚±0.25 10PCS/60箱 全斷/透明保護膜,1,,,,,303,303,43.66,124,124,17.87,267,267,38.47,,,,694,694,124,267,
41018-0916001,PCS,TG-A6200 310*310*1.5mm 不背膠,長寬±1.5厚±0.15 5PCS/50箱 全斷/格紋膜,100,,,,,25371,253.71,82.5,1706,17.06,5.55,3677,36.77,11.96,,,,30754,307.54,1706,3677,
41018-0918301,PCS,TG-A3500 30*22*8.0mm 不背膠,長寬±0.3厚±0.40 500PCS/1000箱 半斷/透明保護膜,,,99.956,99.956,,747,7.4733,96.89,8,0.08,1.04,16,0.1601,2.08,,,,771,7.7134,8,16,
41018-0918401,PCS,TG-A3500 12*12*4.5mm 不背膠,長寬±0.3厚±0.30 1000PCS/10000箱 半斷/透明保護膜,,,199.656,199.656,,231,1.157,84,14,0.0701,5.09,30,0.1503,10.91,,,,275,1.3774,14,30,
41018-0922301,PCS,TG-A6200 36*36*1.0mm 不背膠,長寬±0.4厚±0.05 1000PCS/10000箱 半斷/透明保護膜,5,,,,,100,20,31.55,69,13.8,21.77,148,29.6,46.69,,,,317,63.4,69,148,
41018-0925701,PCS,TG-A6200 13*13*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/40000箱 半斷/藍色保護膜,100,,,,,90,0.9,25.86,82,0.82,23.56,176,1.76,50.57,,,,348,3.48,82,176,
41018-0929001,PCS,TG-A6200 15*10*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/90000箱 半斷/透明保護膜,200,,,,,80,0.4,39.8,38,0.19,18.91,83,0.415,41.29,,,,201,1.005,38,83,
41018-0929101,PCS,TG-A4500 16*16*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/10000箱 半斷/透明保護膜,440,,,,,641,1.4568,42.12,279,0.6341,18.33,602,1.3682,39.55,,,,1522,3.4591,279,602,
41018-0930501,PCS,TG-A1250 32*9*1.5mm 不背膠,長±0.4寬±0.2厚±0.15 1000PCS/10000箱 半斷/透明保護膜,870,,,,,751,0.8632,53.11,210,0.2414,14.85,453,0.5207,32.04,,,,1414,1.6253,210,453,
41018-0930601,PCS,TG-A1250 16*9*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/30000箱 半斷/透明保護膜,980,,,,,451,0.4602,47.67,157,0.1602,16.6,338,0.3449,35.73,,,,946,0.9653,157,338,
41018-0932701,PCS,TG-A4500 10*10*8.0mm 不背膠,長寬±0.2厚±0.40 1000PCS/9000箱 半斷/透明保護膜,450,,,,,484,1.0756,60.96,98,0.2178,12.34,212,0.4711,26.7,,,,794,1.7645,98,212,
41018-0940601,PCS,TG-A4500F 100*100*1.0mm 不背膠,長寬±0.6厚±0.10 100PCS/700箱 全斷,1,,,,,167,167,55.67,42,42,14,91,91,30.33,,,,300,300,42,91,
41018-0944501,PCS,TG-A4500 15*10*3.0mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/10000箱 半斷/透明保護膜,230,,,,,234,1.0174,39.46,114,0.4957,19.22,245,1.0652,41.32,,,,593,2.5783,114,245,
41018-0948201,PCS,TG-A1250 20*8.5*0.8mm 不背膠,長±0.3寬±0.2厚±0.08 1000PCS/50000箱 半斷/透明保護膜,1819,,,,,842,0.4629,34.27,511,0.2809,20.8,1104,0.6069,44.93,,,,2457,1.3507,511,1104,
41018-0951301,PCS,TG-A6200 27.9*8.9*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/20000箱 膜斷/藍色保護膜/加拉拔10mm(8.9),120,,,,,100,0.8333,14.77,182,1.5167,26.88,395,3.2917,58.35,,,,677,5.6417,182,395,
41018-0951401,PCS,TG-A6200 14.3*8.9*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/50000箱 膜斷/藍色保護膜/加拉拔10mm(8.9),120,,,,,100,0.8333,13,212,1.7667,27.57,457,3.8083,59.43,,,,769,6.4083,212,457,
41018-0951501,PCS,TG-A6200 28.4*14*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/10000箱 膜斷/藍色保護膜/加拉拔10mm(28.4),210,,,,,200,0.9524,20.04,253,1.2048,25.35,545,2.5952,54.61,,,,998,4.7524,253,545,
41018-0951701,PCS,TG-A6200 14.7*7.1*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/60000箱 膜斷/藍色保護膜/加拉拔10mm(7.1),55,,,,,100,1.8182,12.2,228,4.1455,27.8,492,8.9455,60,,,,820,14.9092,228,492,
41018-0963601,PCS,TG-A6200 65*20*1.0mm 不背膠,長±0.5寬±0.3厚±0.10 500PCS/5000箱 半斷/透明保護膜,262,,,,,1002,3.8244,44.65,391,1.4924,17.42,851,3.2481,37.92,,,,2244,8.5649,367,792,
41018-0963701,PCS,TG-A6200 58*20*2.5mm 不背膠,長±0.5寬±0.3厚±0.25 200PCS/2000箱 半斷/透明保護膜,145,,,,,801,5.5241,39.02,395,2.7241,19.24,857,5.9103,41.74,,,,2053,14.1585,372,801,
41018-0967301,PCS,TG-A3500F 9*9*2.5mm 不背膠,長寬±0.2厚±0.25 1000PCS/35000箱 半斷,1140,,,,,369,0.3237,42.12,161,0.1412,18.38,346,0.3035,39.5,,,,876,0.7684,161,346,
41018-0967501,PCS,TG-A6200LC 50*50*1.0mm 不背膠,長寬±0.4厚±0.10 500PCS/3000箱 半斷/藍色亮面膜,100,,,,,1329,13.29,71.22,170,1.7,9.11,367,3.67,19.67,,,,1866,18.66,170,367,
41018-0970601,PCS,TG-A6200F 22*16*1.0mm 不背膠,長寬±0.3厚±0.10 1050PCS/10500箱 半斷/裁切分板154*160mm(7*10排)/每板70PCS/需滿板出貨,1820,,,,,2940,1.6154,63.31,517,0.2841,11.13,1187,0.6522,25.56,,,,4644,2.5517,288,620,
41018-0976501,PCS,TG-A6200 20*20*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/30000箱 全斷/透明保護膜,100,,,,,80,0.8,14.57,148,1.48,26.96,321,3.21,58.47,,,,549,5.49,148,321,
41018-0978301,PCS,TG-A6200 67*15*4.0mm 不背膠,長±0.5寬±0.3厚±0.30 100PCS/1000箱 半斷/條狀/透明保護膜,420,,,,,3062,7.2905,59.31,666,1.5857,12.9,1435,3.4167,27.79,,,,5163,12.2929,666,1435,
41018-0979302,PCS,TG-A6200LC 38.5*30*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 500PCS/4000箱 膜斷/條狀/藍色亮面膜/加拉拔10mm(30),190,,,,,1275,6.7105,35.65,729,3.8368,20.39,1572,8.2737,43.96,,,,3576,18.821,729,1572,
41018-0982501,PCS,TG-A6200 17*17*4.0mm 不背膠,長寬±0.3厚±0.30 500PCS/5000箱 半斷/透明保護膜,141,,,,,255,1.8085,43.07,107,0.7589,18.07,230,1.6312,38.85,,,,592,4.1986,107,230,
41018-0983101,PCS,TG-A6200 39.5*17.5*7.0mm 不背膠,長±0.4寬±0.3厚±0.40 100PCS/1000箱 半斷/透明保護膜,3500,,,,,20097,5.742,77.99,1798,0.5137,6.98,3875,1.1071,15.04,,,,25770,7.3628,1798,3875,
41018-0983201,PCS,TG-A6200 39.5*17.5*3.5mm 不背膠,長±0.4寬±0.3厚±0.25 200PCS/2000箱 半斷/透明保護膜,6800,,,,,23590,3.4691,72.88,2782,0.4091,8.59,5996,0.8818,18.52,,,,32368,4.76,2782,5996,
41018-0984901,PCS,TG-A1250 14*7*3.5mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/20000箱 半斷/透明保護膜,39630,,3500.623,3500.623,,26136,0.606,74.01,2892,0.0671,8.19,6285,0.1457,17.8,,,,35313,0.8188,2722,5865,
41018-0985101,PCS,TG-A1250 14*7*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/70000箱 半斷/透明保護膜,39300,,,,,10141,0.258,63.39,1836,0.0467,11.48,4020,0.1023,25.13,,,,15997,0.407,1635,3523,
41018-0988301,PCS,TG-A1250 35*23*1.0mm 不背膠 沖型,長±0.4寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜/Z4001-0297201/量產模/13穴/裁91PCS,1150,,,,,2880,2.5043,54.99,747,0.6496,14.26,1610,1.4,30.74,,,,5237,4.5539,747,1610,
41018-0991701,PCS,TG-A4500 22*7*2.0mm 不背膠,長±0.3寬±0.2厚±0.20 1000PCS/20000箱 半斷/透明保護膜,1000,,,,,721,0.721,66.7,110,0.11,10.18,250,0.25,23.13,,,,1081,1.081,72,155,
41018-0996901,PCS,TG-A6200 310*310*0.5mm 不背膠,長寬±1.5厚±0.05 20PCS/20箱 直出不修邊,,,4,4,,640,160,61.48,127,31.75,12.2,274,68.5,26.32,,,,1041,260.25,127,274,
41018-0997301,PCS,TG-A6200 11*11*4.0mm 不背膠,長寬±0.3厚±0.30 1000PCS/10000箱 半斷/透明保護膜,4700,,1999.678,1999.678,,4083,0.6094,76.62,396,0.0591,7.43,850,0.1269,15.95,,,,5329,0.7954,396,850,
41018-0997901,PCS,TG-A1250 100*100*4.5mm 不背膠,長寬±0.6厚±0.30 10PCS/100箱 全斷/透明保護膜,3,,,,,349,116.3333,60.7,72,24,12.52,154,51.3333,26.78,,,,575,191.6666,72,154,
41018-1001302,PCS,TG-A3500 60*20*3.5mm 不背膠,長±0.5寬±0.3厚±0.25 500PCS/2000箱 全斷/藍色保護膜,1400,,,,,6595,4.7107,40.68,3048,2.1771,18.8,6569,4.6921,40.52,,,,16212,11.5799,3048,6569,
41018-1001801,PCS,TG-A1250 8*8*0.5mm 不背膠,長寬±0.2厚±0.05 1000PCS/200000箱 半斷/條狀/透明保護膜,950,,,,,180,0.1895,34.75,107,0.1126,20.66,231,0.2432,44.59,,,,518,0.5453,107,231,
41018-1009401,PCS,TG-A4500 70*25*2.0mm 不背膠,長±0.5寬±0.3厚±0.20 200PCS/2000箱 膜斷/條狀/透明保護膜,1000,,,,,7749,7.749,74.94,821,0.821,7.94,1770,1.77,17.12,,,,10340,10.34,821,1770,
41018-1011701,PCS,TG-A3500 12*7*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/50000箱 膜斷/條狀/透明保護膜/加拉拔20mm(7)/12全斷/7膜斷,10000,,,,,2379,0.2379,13.6,4793,0.4793,27.39,10327,1.0327,59.01,,,,17499,1.7499,4793,10327,
41018-1012001,PCS,TG-A6200 60*20*1.5mm 不背膠,長±0.5寬±0.3厚±0.15 500PCS/4000箱 半斷/透明保護膜,921,,,,,3130,3.3985,64.79,535,0.5809,11.07,1166,1.266,24.14,,,,4831,5.2454,488,1050,
41018-1016301,PCS,TG-A4500 70*25*3.0mm 不背膠,長±0.5寬±0.3厚±0.25 100PCS/1000箱 膜斷/條狀/透明保護膜,500,,,,,5152,10.304,74.1,571,1.142,8.21,1230,2.46,17.69,,,,6953,13.906,571,1230,
41018-1016401,PCS,TG-A4500 70*25*1.5mm 不背膠,長±0.5寬±0.3厚±0.15 200PCS/2000箱 膜斷/條狀/透明保護膜,500,,,,,3524,7.048,72.78,418,0.836,8.63,900,1.8,18.59,,,,4842,9.684,418,900,
