訂單編號,產品別,規格,鍍層碼,厚度mm,寬度mm,用途碼,業務需求備註
2512EFE011/001,PPGL,A792SSGR80,AZ50,0.356,1041,COG003,請於12月排產及出貨
2511DLD002/001,TPPAL,CALC-30,-,0.8,1006,CIA008,"2026/4/10:修改數量至10噸
1.投入兩顆鋁捲，編號：U034387、R107676
_
案名：大林圖書館工程
1.投入鋁捲，編號：U034387
2.請協助留30cm全板寬*2，並提供予技術做測試
3.母鋼不分切"
2510DFD001/001,PPGI,CGCC-10,Z12,0.556,870,CIC005,"1. 此單為松下洗衣機外殼-內銷機種,包裝方式請更改為S3
2. 客戶有特殊機械性質要求，請原料投入1002B材質
3. 此單生產時請知會R&D 吳昭瑢處長。"
2512AIX002/001,PPGI,CGCC-10,Z12,0.42,914,COA034,"年度提供塗料商對色用底漆板
原料不用配料"
2511DLD001/001,TPPSUS,CSUS443-30,-,0.526,1219,CIA008,"投產代工不銹鋼443鋼號:
'31S43301  ，0.526*1219 ，18,134kg
'31S43302  ，0.526*1219 ，18,234kg
'31S43304  ，0.526*1219 ，18,834kg
'31S43309  ，0.526*1219 ，18,654kg
'31S43310  ，0.526*1219 ，18,319kg"
2511DLD001/002,TPPSUS,CSUS443-30,-,0.5,914,CIA008,"投產代工不銹鋼443鋼號:
'31S43392A ，0.5*914 ，14,229 kg
'31S43394A ，0.5*914 ，13,989kg"
2511DLD001/004,TPPSUS,CSUS443-30,-,0.5,914,CIA008,"投產代工不銹鋼443鋼號:
'31S43389A ，0.5*914 ，14,329 kg
'31S43391A ，0.5*914 ，14,274 kg"
2501DFD039/002,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.0.36mm比重aiming 0.76~0.78kg/尺"
2501DFD039/004,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.0.36mm比重aiming 0.76~0.78kg/尺"
2501DFD039/005,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.0.36mm比重aiming 0.76~0.78kg/尺"
2501DFD048/001,PPGL,CGLC400-10,AZ70,0.476,913,CIA007,"1. 目標寬度913~917mm
2. 限重3.8~4.5噸，最後一顆可不依限重。"
2501DFD049/001,PPGL,CGLC400-10,AZ70,0.476,913,CIA007,"1. 目標寬度913~917mm
2. 限重3.8~4.5噸，最後一顆可不依限重。"
2501DFD049/002,PPGL,CGLC400-10,AZ100,0.476,912,CIA007,"1. 目標寬度914~916mm
2. 限重2.8-3.2噸，最後一顆可不依限重。"
2501DFD041/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2501DFD040/001,PPGL,CGLC400-10,AZ70,0.376,911,CIA007,"急件
1.目標寬度912~914mm
2.單捲限重2.8-3.2噸，最後一顆可不依限重。
3.請生產足量"
2511DFD038/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,2025/11/17: 新增此項次
2511DFD063/001,PPGL,CGLCC-30,AZ200,0.6,1219,CIA008,"案名：雙葉食品工程
1.需求量：7噸
2.投入殘料鋼號：51010810002
3.以對切為主
4.修補漆*1"
2512EFE006/001,PPGL,A792MCSB,AZM150,0.47,914,COA010,"TO 原料/生管:
請投入兩顆較小鋼捲生產。"
2512EFE006/002,PPGL,A792MCSB,AZM150,0.47,914,COA010,"TO 生管 : 
急單，請於12月下旬產出"
2512EFE006/003,PPGL,A792MCSB,AZM150,0.47,914,COA010,"TO 生管 : 
急單，請於12月下旬產出"
2511AIX001/002,PPGI,A653MCQ,Z120,0.5,1039,CIR001,=2512EOE001/002
2510DFD040/001,PPGL,A792MSSGR550,AZM210,0.6,1200,CIA008,數量最少請產足20噸
2512EFD001/001,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處: 
1.COIL LENGTH ON MILL CERT. 
2. REMARK 'ORDER THICKNESS IS BMT' IN COLUMN OF SPEC."
2512EFD001/002,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處: 
1.COIL LENGTH ON MILL CERT. 
2. REMARK 'ORDER THICKNESS IS BMT' IN COLUMN OF SPEC."
2512EFD001/003,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處: 
1.COIL LENGTH ON MILL CERT. 
2. REMARK 'ORDER THICKNESS IS BMT' IN COLUMN OF SPEC."
2512EFD001/004,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處: 
1.COIL LENGTH ON MILL CERT. 
2. REMARK 'ORDER THICKNESS IS BMT' IN COLUMN OF SPEC."
2512EFD001/005,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處: 
1.COIL LENGTH ON MILL CERT. 
2. REMARK 'ORDER THICKNESS IS BMT' IN COLUMN OF SPEC."
2511AIX001/001,PPGI,A653MCQ,Z120,0.3,930,CIR001,=2512EOE001/001
2511DFD041/005,PPGL,CGLC400-30,AZ150,0.52,1219,CIA008,"114/11/27 Revised
1.客戶新增數量，尺寸、規格同項次2，數量80MT"
2511DLD003/001,TPPGL,CGLCC-20,AZ100,0.376,914,CIA008,"鋼號 50724480000 重量 15,960  分切4粒
鋼號 50724490000 重量 16,050  分切4粒
鋼號 50724500000 重量 16,120  分切4粒
鋼號 50724510000 重量 15,880  分切4粒"
2512DCD004/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2511DFD066/001,PPGI,CGCC-10,Z12,1,1243,COA006,"1.母鋼分切2顆
2.請注意烤漆品質，成型後不可裂漆。
3.煩請挑選大顆投入生產。"
2511DLD003/002,TPPGL,CGLCC-20,AZ100,0.376,914,CIA008,"鋼號 50724520000 重量 17,570  分切4粒
鋼號 50724530000 重量 17,405  分切4粒
鋼號 50724540000 重量 17,575  分切4粒"
2511DLD003/003,TPPGL,CGLCC-20,AZ100,0.376,914,CIA008,"鋼號 50724550000 重量 17,625  分切4粒
鋼號 50724560000 重量 17,165  分切4粒
鋼號 50724570000 重量 16,890  分切4粒
鋼號 50724580000 重量 17,105  分切4粒"
2511DFD064/002,PPGI,CGCC-10,Z12,0.3,988,CIR005,挑選套筒請留意不能小於寬度，客戶期望要與鋼捲寬度相同，可接受套筒長度稍微大於鋼捲寬度。
2511DFD064/003,PPGI,CGCC-10,Z12,0.3,1190,CIR005,挑選套筒請留意不能小於寬度，客戶期望要與鋼捲寬度相同，可接受套筒長度稍微大於鋼捲寬度。
2511DFD065/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.煩請挑大顆鋼捲投入生產。
2511DLD003/004,TPPGL,CGLCC-20,AZ100,0.376,914,CIA008,"鋼號 50724390000 重量 15,980  分切4粒
鋼號 50724400000 重量 16,035  分切4粒
鋼號 50724410000 重量 15,885  分切4粒
鋼號 50724420000 重量 16,165  分切4粒
鋼號 50724440000 重量 17,670  分切4粒
鋼號 50724452000 重量 15,425  分切4粒
鋼號 50724460000 重量 16,165  分切4粒
鋼號 50724470000 重量 15,905  分切4粒
鋼號 50724431000 重量 16,555  分切4粒"
2511DFD067/001,PPGL,CGLC-20,AZ150,0.426,914,COA010,1.單捲限重3.5~3.9噸，若有分切問題請與業務聯絡。
2511DCD011/004,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2505DFD085/010,PPGL,CGLC400-10,AZ70,0.476,911,CIA006,"2025/12/9:確認項次
1.限重3.5~4噸，若切不進請聯絡MKT郁潔。
2.請盡量挑選較大顆HR"
2512DFD035/006,PPGL,CGLC400-10,AZ70,0.476,1210,CIA007,"1. 目標寬度1210~1214mm。
2. 單捲限重:2.8~3.2噸，若有分切問題請與業務聯絡。"
2512DFD034/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"2026/1/5Revised
1.取消訂單，數量更改為1噸。

1.限重4~4.9，若有分切問題請與業務聯絡。"
2512DFD063/002,PPGL,CGLC400-30,AZ170,0.52,1219,CIA008,"115/03/04 補上色碼: FL540/BW73Y
此對色代碼為260119FL02


114/12/30 Revised
1.顏色預計與項次1同色，待對色確認後一同補上。

1.顏色確認中，確認後補上。"
2512DFD061/001,PPGL,CGLC570-20,AZ150,0.52,1219,CIA008,"1.規格修改CGLC570-20
2.單捲限重:4~5噸，若有分切問題請與業務聯絡。"
2512DFD061/002,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.單捲限重:4~5噸，若有分切問題請與業務聯絡。
2512DFD063/001,PPGL,CGLC400-30,AZ170,0.52,914,CIA008,"115/03/04 補上色碼: FL540/BW73Y
此對色代碼為260119FL02

114/12/30 Revised
1.數量修改30噸→20噸.

1.顏色確認中，確認後補上。"
2512DFD062/001,PPGL,A792MCQ,AZM150,0.6,1050,CIA021,"案名：台灣富士紡工程
1.需求量：13噸
2.限重4.5~5噸，最後一顆可不依限重。
3.修補漆*1"
2512DFD062/002,PPGL,A792MCQ,AZM100,0.476,990,COR007,"案名：台灣富士紡工程
1.投入殘料鋼號：5111071/2002
2.限重4.5~5噸，最後一顆可不依限重。
3.修補漆*1"
2512DFD059/001,PPGL,CGLCC-10,AZ100,0.376,860,COR004,"1.鍍層修改AZ100
2.目標寛度860~865mm，不低於860mm，不高於865mm。
3.目標單捲限重:4~4.5噸，若有分切問題請與業務聯絡。"
2512DFD060/001,PPGL,CGLC570-32,AZ200,0.533,1219,CIA008,"2026/1/5Revised
1.更改備標C815→C816。
2026/1/2Revised
1.更改背漆色碼BW73X→BWE5X

1.規格修改CGLC570-32
2.鍍層修改AZ200
3.背漆修改15µ
4.底材0.476
5.限重3~5噸
6.留板做TAF報告"
2512DFD060/002,PPGL,CGLC400-32,AZ200,0.533,1219,CIA008,"2026/1/5Revised
1.更改備標C815→C816。
2026/1/2Revised
1.更改背漆色碼BW73X→BWE5X

1.規格修改CGLC400-32
2.鍍層修改AZ200
3.背漆修改15µ
4.底材:0.476
5.單捲限重:3~5噸
6.留板做TAF報告"
2507DCD001/002,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2506DFD075/003,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"114/07/08 Revised
1.新增項次3-->數量40噸
2.含烤漆厚度必須達0.52mm
3.AIMING:產出比重盡量在3.6KG/M以下
4.母鋼請預留12噸,待Item 2確認顏色後再烤漆
5.TO技術: 厚度變異修正-6.2--->-1.4

產出比重請在3.6KG/M以下
母鋼請預留12噸,待Item 2確認顏色後再烤漆
含烤漆厚度需達0.52mm"
2507DCD002/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,變更規格，由CGLCC-20  變更為 CGLC400-20
2512DFD074/001,PPGI,CGCC-10,Z12,1,1220,COA006,1.目標限重8~10.5，若有分切問題請與業務聯絡。
2510DCD006/002,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2508DFD039/001,PPGL,CGLC-10,AZ070,0.476,912,CIC034,"1.目標寬度914mm~916mm，不超過916mm。
2.用戶天車極限3噸，故每粒鋼捲務必3噸內。"
2509EFE006/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2508DFD040/004,PPGL,CGLC400-10,AZ70,0.426,912,CIA006,"1.目標寬度:914mm~916mm。
2.單捲限重:3.8噸~4.3噸"
2508DFD044/001,PPGL,CGLC400-20,AZ150,0.45,960,COA010,"1. 直立式木架包裝。
2. 請依軋延率≧82%的規則採買熱軋。
3. 客戶表示因用戶端的大天車裁撤，因此必須降低最
    大限重；客戶拜託我們能否把最後一顆分切鋼捲，若是超過3.2噸，
     再次分切成2顆1噸多的小鋼捲，重量低於訂單限重客戶也願意
     一級品接受。"
2509DFD008/001,PPGI,CGCC-10,Z08,0.326,770,CIC001,*聲寶側板訂單包裝方式請更改為S3
2509EFE014/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2508DFD038/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"2025/8/14Revised
1.更改限重4~4.9→3.7~4.9。"
2508DFD060/003,PPGI,CGCC-10,Z12,1.4,1046,COA006,"1.母鋼分切2粒。
2.厚度請修改為1.4"
2509EFE006/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2509EFE006/004,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2509EFE006/005,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2508DFD038/002,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"2025/8/14Revised
1.更改限重4~4.9→3.7~4.9。"
2509DFD007/003,PPGI,CGCC-10,Z08,0.326,797,CIC001,"ITEM3  變更訂單噸數， 30噸 --> 15噸
ITEM6  變更訂單噸數， 45噸 --> 15噸

新增ITEM7 及 ITEM8"
2508DFD055/001,PPSUS,CSUS304-20,-,0.56,914,CIA008,需求量13~15噸
2508DFD055/002,PPSUS,CSUS304-20,-,0.56,914,CIA008,"2025/8/20: 修改正面色碼為2Y730
修改套筒為P
底材厚0.51~0.53mm(烤漆後約 0.544～0.571mm)

請挑選較大顆母鋼，需求量15~18噸"
2511DCD011/001,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2512DFD040/001,PPGL,CGLC570-30,AZ150,0.52,1219,CIA008,正面45u/背面12.5u
2512DFD032/001,PPGL,CGLC570-30,AZ150,0.5,1225,CIA008,"*請提供FV607修補漆1桶。
*鋼捲須經分條，請注意鋼捲平整度。"
2512DFD032/002,PPGL,CGLC570-30,AZ150,0.45,914,CIA008,*請提供FV306修補漆1桶。
2512DFD035/001,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"1.目標寬度912mm~914mm
2.限重2.8~3.2，若有分切問題請與業務聯絡。"
2512DFD035/002,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"1.限重2.8~3.2噸，若有分切問題請與業務聯絡。
2.目標寬度912mm~914mm"
2512DFD035/003,PPGL,CGLC400-10,AZ70,0.476,911,CIA006,"1.限重2.8~3.2噸，若有分切問題請與業務聯絡。
2.目標寬度912mm~914mm"
2512DFD045/001,PPGI,CGCC-10,Z12,0.576,914,CIC030,"生產時請通知龔裕隆課長，感謝

因客戶機台限制，故變更鋼捲限重
 5噸~8噸  變更為  4噸~6噸"
2512DFD058/001,PPGL,CGLC400-10,AZ70,0.426,912,CIA007,"1.目標寬度:914mm~916mm。
2.單捲限重:3.8噸~4.3噸，若有分切問題請與業務聯絡。"
2512AIX001/001,PPGL,CGLC-20,AZ150,0.42,914,COA001,年度提供塗料商對色用底漆板。原料不用配料
2503EFE015/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處: 
1.TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性比照151EFE047 OR 154EFE069
   主要考量BENDING盡量不能有CRACKING現象(不保證)
   煩請比照以上兩張訂單選購原料與生產TS and YS aiming 100ksi max, 不保證。"
2503EFE016/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處: 
1. TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性比照151EFE047 OR 154EFE069，
  主要考量BENDING盡量不能有CRACKING現象(不保證)，
  煩請比照以上兩張訂單選購原料與生產。"
2503EFE017/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處: 
1. TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性比照151EFE047 OR 154EFE069，
  主要考量BENDING盡量不能有CRACKING現象(不保證)，
  煩請比照以上兩張訂單選購原料與生產。"
2503EFE018/001,PPGL,A792SSGR80,AZ50,0.483,1086,COG003,"TO 技術處: 
1. TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性比照151EFE047 OR 154EFE069，
  主要考量BENDING盡量不能有CRACKING現象(不保證)，
  煩請比照以上兩張訂單選購原料與生產。"
2512DFD035/004,PPGL,CGLC400-10,AZ70,0.476,911,CIA006,"1. 鋼捲限重:2.8~3.2噸，若有分切問題請與業務聯絡。
2. 目標寬度912mm~914mm。"
2512DFD035/005,PPGL,CGLC400-10,AZ70,0.376,911,CIA006,"1. 目標寬度914~916mm
2. 單捲限重:2.8~3.2噸，若有分切問題請與業務聯絡。"
2512DFD034/002,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9，若有分切問題請與業務聯絡。
2512DFD034/003,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9，若有分切問題請與業務聯絡。
2512DFD036/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.限重4~4.9，若有分切問題請與業務聯絡。
2512DFD036/002,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.限重4~4.9，若有分切問題請與業務聯絡。
2512DFD057/001,PPGL,CGLCC-20,AZ150,0.42,914,CIA008,"1.限重4~4.9噸，若有分切問題請與業務聯絡。
2.比重0.86KG/尺以下。"
2505DFD085/012,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"2026/2/5:確認項次
1.限重3.5~4噸，若切不進請聯絡MKT郁潔。"
2502DFD016/001,PPGI,CGCD1-10,Z12,0.756,795,CIC005,1. 此單生產時請知會R&D吳昭瑢處長
2502DFD013/001,PPGI,CGCC-10,Z08,0.326,770,CIC001,"*聲寶側板訂單,鋼捲限重請改為3~5MT"
2503EFD001/001,PPGL,CGLC-10,AZ070,0.35,1065,CIA001,"TO 生管/技術/原料:
此張訂單為急單，須於2025/2/14號前包裝完成出貨。

*2025/01/22 修改寬度 更改為 1065MM*"
2501DFD063/001,PPGI,CGC440-20,Z25,0.951,914,COT001,"1.請注意平坦度,出捲板型 ︵
2.注意單捲限重(限重:3~5噸)及610內徑。"
2501DCD019/004,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2507DFD049/001,PPGL,CGLCC-33,AZ200,0.6,914,CIA008,"案名：國瑞汽車電著廠
1. 需求量：26噸
2. 修補漆*1"
2507DFD049/002,PPGL,CGLCC-33,AZ200,0.6,1219,CIA008,"案名：國瑞汽車電著廠
1. 需求量：43噸
2. 請盡量挑選大顆HR(21.5噸以上)
2. 修補漆*1"
2507DFD049/004,PPGL,A792MCQ,AZM150,0.426,950,COA001,"案名：國瑞汽車電著廠
1. 需求量：21噸
2. 請投入殘料鋼號：4042266/0004(重5.494噸)
3. 請盡量挑選較小顆HR(16噸左右)"
2507DFD035/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.使用3顆母鋼平均生產
2502DFD048/008,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,2025/7/10:新增此項次
2507DCD002/002,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,變更規格，由CGLCC-20  變更為 CGLC400-20
2503EFE013/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2503EFE013/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2503EFE013/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2503EFE013/004,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2503EFE013/005,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2503EFE013/006,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,TO 技術:1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT
2507DCD003/001,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2507DFD022/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,2025/7/9:新增此項次
2508EFD001/001,PPGL,A792MSSGR550,AZM150,0.5,1219,COA001,"TO原料: 
1.請挑選較大顆的母鋼捲
2.使用對應材原料"
2508EFD001/002,PPGL,A792MSSGR550,AZM150,0.5,1219,COA001,"TO原料: 
1.請挑選較大顆的母鋼捲
2.使用對應材原料"
2507DFD038/001,PPGL,CGLC570-20,AZ150,0.52,1219,CIA008,1.限重3.7~4.9，最後一顆可不依限重。
2507DFD038/002,PPGL,CGLC400-20,AZ150,0.52,1219,CIA008,1.限重3.7~4.9，最後一顆可不依限重。
2508DFD006/001,PPGI,CGCC-10,Z08,0.326,770,CIC001,"*聲寶側板訂單,包裝方式更改為S3包裝,鋼捲限重請改為3~5MT"
2508EFD001/004,PPGL,A792MSSGR550,AZM150,0.5,1219,COA001,"TO原料: 
1.請挑選較大顆的母鋼捲
2.使用對應材原料"
2508EFD001/005,PPGL,A792MSSGR550,AZM150,0.5,1219,COA001,"TO原料: 
1.請挑選較大顆的母鋼捲
2.使用對應材原料"
2508EFD001/006,PPGL,A792MSSGR550,AZM150,0.5,1219,COA001,"TO原料: 
1.請挑選較大顆的母鋼捲
2.使用對應材原料"
2502EFE009/003,PPGL,A792SSGR80,AZ50,0.381,1076,COG003,"TO 技術處： 
1. 厚度公差AIMING +0.0030""; 寬度公差AIMING +0.1875""。 
2. 寬度公差標準比照ASTM 924 TABLE 3。 
3. 邊波上限0.125""; I-UNITS上限20。 
4. 用途為壁板。"
2501DMD109/001,,,,,,,ITEM1 增加訂單重量，由10噸-->11噸
2501DFD064/003,PPGL,CGLC400-30,AZ150,0.576,1192,CIA021,"案名：莊松榮製藥廠
1.目標寬度1192~1196mm
2.母鋼請盡量挑選21.5~22噸
3.因應複合板(上下層板搭配)生產<分切以米數為主>，每粒950~1100m左右
   (試算:P-202502-002,176m/mt)
4.底材產出後若有分切問題請事先詢問MKT"
2501DFD064/001,PPGL,CGLC400-30,AZ150,0.576,1192,CIA021,"案名：莊松榮製藥廠
1.目標寬度1192~1196mm
2.母鋼請盡量挑選21.5~22噸
3.因應複合板(上下層板搭配)生產<分切以米數為主>，每粒950~1100m左右
   (試算:P-202502-002,176m/mt)
4.底材產出後若有分切問題請事先詢問MKT"
2501DFD064/002,PPGL,CGLC400-30,AZ150,0.576,1192,CIA021,"案名：莊松榮製藥廠
1.目標寬度1192~1196mm
2.母鋼請盡量挑選21.5~22噸
3.因應複合板(上下層板搭配)生產<分切以米數為主>，每粒950~1100m左右
   (試算:P-202502-002,176m/mt)
4.底材產出後若有分切問題請事先詢問MKT"
2501DFD065/002,PPGL,CGLC400-10,AZ100,0.476,1072,CIA001,"1.目標寬度1072~1076mm
2.因應複合板(上下層板搭配)生產<分切以米數為主>
   底材請盡量挑選17~18.5噸，每粒母鋼捲平均分切成4粒，
   米數須接近，每粒950~1100m左右(試算:P-202502-001,235m/mt)
3.底材產出後若有分切問題請事先詢問MKT"
2503DFD015/001,PPGI,CGCD1-10,Z08,0.426,1216,CIR029,114/02/26 Revised 數量修改 60MT->1MT，以示作廢，改下二月。
2501DFD065/001,PPGL,CGLC400-10,AZ100,0.476,1072,CIA001,"1.目標寬度1072~1076mm
2.因應複合板(上下層板搭配)生產<分切以米數為主>
   底材請盡量挑選17~18.5噸，每粒母鋼捲平均分切成4粒，
   米數須接近，每粒950~1100m左右(試算:P-202502-001,235m/mt)
3.底材產出後若有分切問題請事先詢問MKT"
2501DMD074/018,,,,,,,"2025/1/22
新增項次18"
2501DFD064/004,PPGL,CGLC400-30,AZ150,0.576,1192,CIA021,"色碼待補，請勿投產
1.目標寬度1192~1196mm
2.母鋼請盡量挑選21.5~22噸
3.因應複合板(上下層板搭配)生產<分切以米數為主>，每粒950~1100m左右
   (試算:P-202502-002,176m/mt)
4.底材產出後若有分切問題請事先詢問MKT"
2503DMD001/003,,,,,,,重新下訂一張大色500噸→1000噸
2502DCD001/001,PPGI,CGCC-10,Z12,0.42,914,COA034,此單請勿投料，預計由2408DFD057/003 鋼號：40724601125轉入
2501DFD069/001,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"1. 目標寬度911~914mm
2. 限重3.5~4噸，勿超上限重，最後一顆可不依限重。"
2502DFD017/001,PPGI,CGCD1-10,Z12,0.756,810,CIC005,1. 此單生產時請知會R&D吳昭瑢處長
2508DFD073/004,PPGL,CGLC-10,AZ070,0.726,914,CIR030,1.限重3.5~4.7，最後一顆可不依限重
2502DFD023/001,PPGL,CGLCC-20,AZ150,0.42,914,COA012,特急件！
2503DFD009/001,PPGI,CGCC-10,Z12,0.556,870,CIC005,"1. 此單為松下洗衣機外殼-內銷機種,包裝方式請更改為D7
2. 客戶有特殊機械性質要求，請原料投入1002B材質
3. 此單生產時請知會R&D 吳昭瑢處長。"
2503DFD010/001,PPGI,CGCD1-10,Z12,0.756,795,CIC005,1. 此單生產時請知會R&D吳昭瑢處長
2505DFD064/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,特急件~
2506DFD004/002,PPGI,CGCC-10,Z08,0.326,797,CIC001,ITEM2  修改鋼捲限重， 2噸~3噸 修改為 3噸~5噸
2502DFD023/002,PPGL,CGLCC-20,AZ150,0.52,914,COA012,特急件！
2501EFE020/001,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2505DFD031/001,PPGL,CGLCD-20,AZ150,0.286,1003,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2507EFE041/001,PPGL,A792SSGR33,AZ50,0.61,1219,COG003,"***請使用對應材原料***
新色，SMP保固40Y"
2507DFD051/001,PPGL,CGLCC-10,AZ70,0.376,1219,CIA029,"1. 含漆總厚度不能低於0.40mm。

2. 含漆總厚度Aiming  0.40mm ~ 0.43mm。

煩請幫忙分切為  --  8噸 + 8噸 + 一顆小鋼捲(低於限重也一級品接受)

請投入一顆原料就行了"
2507DFD035/002,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.使用3顆母鋼平均生產
2507DFD034/001,PPGL,CGLC400-20,AZ150,0.52,1219,CIA008,"2025/7/17Revised
1.取消訂單更改為DCD

特急件~"
2507DFD034/002,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,"2025/7/17Revised
1.取消訂單更改為DCD

特急件~"
2507DFD034/003,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,"2025/7/17Revised
1.取消訂單更改為DCD

特急件~"
2507DFD034/004,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,"2025/7/17Revised
1.取消訂單更改為DCD

特急件~"
2507DFD034/005,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,"2025/7/17Revised
1.取消訂單更改為DCD

特急件~"
2507DFD035/003,PPGL,CGLC400-30,AZ150,0.7,914,CIA008,"2025/7/11Revised
1.新增項次3，顏色同SC306，""等樣板拿到給客戶簽名""

1.使用3顆母鋼平均生產"
